user_name,user_location,user_friend_count,user_review_count,user_elite,user_yelp_age,user_review_votes,user_url,user_5star,user_4star,user_3star,user_2star,user_1star
"Estevan 'I don't know karate, but I know ka-razy!' D.","Sacramento, CA",177,85,1,2/1/2011,236,https://www.yelp.com/user_details?userid=rWw8VgJ25LIEaMHD0Y7vlQ,26,37,19,1,2
Debi G.,"Sacramento, CA",1,19,0,11/1/2012,16,https://www.yelp.com/user_details?userid=pMbf0j2qvaQd3BJqoe7a5g,15,1,0,0,3
Travis H.,"Merced, CA",63,10,0,11/1/2013,14,https://www.yelp.com/user_details?userid=UGeqQSYjRk9zfwZltT7Hvg,7,0,0,1,2
Joe M.,"Woodland, CA",86,160,1,8/1/2009,796,https://www.yelp.com/user_details?userid=7trfW0SSussNwZU5Oog2vg,34,90,18,16,2
Lizette R.,"Sacramento, CA",52,3,0,7/1/2010,2,https://www.yelp.com/user_details?userid=y9jx7Hbf1h7aniaQ5uRwdw,0,0,0,0,0
Donovan M.,"Sacramento, CA",396,29,1,11/1/2015,75,https://www.yelp.com/user_details?userid=zVS87nG7hFqkXO_auvVAIw,14,13,1,1,0
Vincent du St. Germaine" M.","Lafayette, CA",272,192,1,7/1/2008,985,https://www.yelp.com/user_details?userid=wLePt38a-51-UCPDRWZFTQ,71,101,14,5,1
Troy N.,"Galt, CA",0,14,0,10/1/2012,17,https://www.yelp.com/user_details?userid=ETQbFto4pacAphfGH5-Xnw,12,0,0,1,1
Jennifer S.,"Walnut Creek, CA",239,5,0,1/1/2016,8,https://www.yelp.com/user_details?userid=C5W1GC0Jr-0SUxkWqBlMKQ,3,0,0,0,2
Kevin The Executioner" A.","Carmichael, CA",56,20,0,1/1/2012,21,https://www.yelp.com/user_details?userid=dzqltUqwz4z4A35cJ9aPPA,11,1,4,1,3
Scott B.,"San Pedro, CA",1,11,0,7/1/2014,19,https://www.yelp.com/user_details?userid=l-vU0jH1s0PiMiciSGowWw,2,3,1,2,3
Lorelei Jew-lo" S.","Sacramento, CA",277,186,1,4/1/2012,5305,https://www.yelp.com/user_details?userid=pC1jwUrTuD2H5XJyE-JFoQ,67,60,31,22,6
Lawrence A.,"Sacramento, CA",0,3,0,3/1/2015,0,https://www.yelp.com/user_details?userid=Sgdy4-Nq3s4QqpCUDJVqKQ,0,0,0,0,0
Andrew Drew Daw'g" A.","Pollock Pines, CA",76,228,1,12/1/2012,1328,https://www.yelp.com/user_details?userid=JeWu0mCqDIhocqF0Wkwiqg,74,110,33,10,1
Patty likes to be full" L.","Sacramento, CA",104,109,0,1/1/2010,195,https://www.yelp.com/user_details?userid=vuJvbKSewW1wuYCKWiZFXA,22,25,21,14,27
Lisa N Ken V.,"Woodland, CA",43,56,0,4/1/2014,83,https://www.yelp.com/user_details?userid=K1CPVNzDfn4JM-iMTUThuw,29,2,1,0,24
Kelle Preggo Foodie" K.","San Leandro, CA",249,213,1,3/1/2008,517,https://www.yelp.com/user_details?userid=xUKN7-XHqlplkkFSJqVNtw,112,57,23,14,7
Spinach Palak" B.","Sacramento, CA",2,40,0,4/1/2016,36,https://www.yelp.com/user_details?userid=joS2gCBfcUJM9uI9aKIxow,19,15,5,0,1
Ryan S.,"Sacramento, CA",2,11,0,3/1/2011,31,https://www.yelp.com/user_details?userid=imylTosB1ofq-xBxkCo_Tg,4,0,1,3,3
Jennifer E.,"Huntington Beach, CA",114,10,0,2/1/2012,12,https://www.yelp.com/user_details?userid=51ai0OzoTHn8wbacJbc5ug,9,1,0,0,0
Sadaf S.,"Anaheim, CA",383,95,1,3/1/2011,361,https://www.yelp.com/user_details?userid=oq__6S6hU0c_U9fzaegTWQ,49,36,6,2,2
Nani V.,"Sacramento, CA",314,458,1,12/1/2007,1290,https://www.yelp.com/user_details?userid=mJEZ4UiEcfATIZtoyWhheg,87,220,103,37,11
Chanel D.,"Sacramento, CA",159,36,0,4/1/2011,83,https://www.yelp.com/user_details?userid=cEUKLodLQFEpz1yQzXwWNA,16,9,3,1,7
Logan Danger" J.","Sacramento, CA",78,166,1,1/1/2009,944,https://www.yelp.com/user_details?userid=gABWuEBJHqnbQPARfWK8-g,57,65,26,10,8
Jen Small" S.","Citrus Heights, CA",164,27,0,1/1/2010,53,https://www.yelp.com/user_details?userid=cJFH8s1z6q9H8t59XDYxPA,6,5,2,3,11
Jeffrey S.,"North Highlands, CA",942,8,0,1/1/2012,8,https://www.yelp.com/user_details?userid=wyZUeO-htYSfxMkJ3L4NJw,7,0,0,0,1
Victoria vippi" E.","Sacramento, CA",3,46,0,7/1/2009,114,https://www.yelp.com/user_details?userid=ccaavNG74FbX_V-K6wWouQ,11,14,9,8,4
Terry C.,"Rancho Cordova, CA",41,11,0,10/1/2014,0,https://www.yelp.com/user_details?userid=Y95Ck70WN8uKFZClDWTXqQ,7,0,0,0,4
Salvador C.,"Sacramento, CA",78,70,0,6/1/2013,80,https://www.yelp.com/user_details?userid=JZ7fl-TYZLXxY2NJGPRu8g,30,21,10,6,3
G Cat Diva" V.","Olympia, WA",0,12,0,8/1/2010,16,https://www.yelp.com/user_details?userid=FigBQQqDExHjoFoMrbVGpQ,6,0,1,2,3
Rod S.,"Elk Grove, CA",2,15,0,1/1/2013,15,https://www.yelp.com/user_details?userid=iPcvY_6wdMgQXwyuq6ZAAA,8,2,1,1,3
Laura C.,"Santa Clara, CA",84,306,1,4/1/2007,803,https://www.yelp.com/user_details?userid=Fh6AdCIhCmb3CwNWUY2uKA,7,117,147,30,5
Stephanie D.,"El Dorado Hills, CA",0,4,0,4/1/2012,2,https://www.yelp.com/user_details?userid=VOdZez01Z-trJO2nTMasjA,2,0,0,2,0
Sean clanmurphy" G.","Belmont, CA",173,106,0,9/1/2006,215,https://www.yelp.com/user_details?userid=RDg8yq3CEhfPsxk9PRwRkw,26,37,16,15,12
Karla D.,"East Bay, CA",444,232,1,8/1/2011,603,https://www.yelp.com/user_details?userid=7fyAtRSYYqOKZPr39L2UYg,52,94,64,19,3
Jennifer K.,"Sacramento, CA",40,3,0,6/1/2011,9,https://www.yelp.com/user_details?userid=szov8wT2WjuCJPq5NgQktA,0,0,0,0,0
Mark S.,"Olivehurst, CA",12,113,0,12/1/2012,198,https://www.yelp.com/user_details?userid=uUzVFd4CLq2xNEa5OB_a6g,21,36,19,25,12
Paolo Pants Party" D.","Modesto, CA",298,26,0,10/1/2010,108,https://www.yelp.com/user_details?userid=Hy6jh38ilsGz2wvxri9kfA,20,4,0,1,1
Jo Drunkwithwords" C.","Portland, OR",6,17,0,12/1/2011,22,https://www.yelp.com/user_details?userid=UGU7MJ557Wvtr4UFhwrOJw,11,0,2,1,3
Valerie F.,"Bodega Bay, CA",4,17,0,10/1/2014,13,https://www.yelp.com/user_details?userid=ciW3X6qZcsFxU4IwOKiPBg,12,0,1,1,3
Devin Dmc M.,"Sacramento, CA",640,18,0,6/1/2016,4,https://www.yelp.com/user_details?userid=-1Htr-YtNvKlGlD4dP8row,10,5,2,0,1
Michie S.,"Rocklin, CA",51,41,0,1/1/2012,40,https://www.yelp.com/user_details?userid=yFfLevNAum8fH_S_JU-oKw,38,2,1,0,0
Tuyet no one knows what it means but its provocative" N.","Elk Grove, CA",246,131,1,6/1/2008,1237,https://www.yelp.com/user_details?userid=RhgPosJ-mFO54ewRqdyVLQ,48,56,17,5,5
Kat S.,"Davis, CA",1,8,0,4/1/2013,5,https://www.yelp.com/user_details?userid=vVErYTAELct2yVHgiPbCxA,6,1,1,0,0
Audrey B.,"Plymouth, CA",0,2,0,6/1/2015,0,https://www.yelp.com/user_details?userid=fhDViAod1rsUzcmXc_YcqA,0,0,0,0,0
D S.,"Kearny Mesa, San Diego, CA",4,4,0,4/1/2012,0,https://www.yelp.com/user_details?userid=e14cwdF3StwjUjIHgTkIhA,3,0,0,0,1
Lilian M.,"Rocklin, CA",38,9,0,3/1/2016,5,https://www.yelp.com/user_details?userid=95-Rxa4PiKyFG9d6qULKcQ,9,0,0,0,0
"Scott 'Skit, Cereal King' F.","Elk Grove, CA",99,322,1,5/1/2012,396,https://www.yelp.com/user_details?userid=oXo1_pAZ6uat01iYusAT3w,115,100,39,21,47
Ro L.,"Palmdale, CA",0,4,0,5/1/2015,0,https://www.yelp.com/user_details?userid=Gw49dyTcQcdF8H1Py36fYQ,4,0,0,0,0
Nancy V.,"Pico Rivera, CA",54,4,0,8/1/2016,7,https://www.yelp.com/user_details?userid=GZzk1-bYBLrgqRSEhwH0Kg,1,0,1,0,2
Aaron F.,"MATHER, CA",0,10,0,2/1/2014,8,https://www.yelp.com/user_details?userid=HijoxjcAir5iCH5LQXpJwA,9,0,0,0,1
Chris B.,"Long Beach, CA",41,24,0,10/1/2009,70,https://www.yelp.com/user_details?userid=FBs6srnrR1-tRXhLbNYWTQ,8,9,3,2,2
Bob Bob" D.","Sacramento, CA",6,79,0,12/1/2008,132,https://www.yelp.com/user_details?userid=RAMIAbLpdZ_SIAr9GY1t-A,24,9,0,3,43
Carla P.,"Sacramento, CA",103,8,0,7/1/2010,16,https://www.yelp.com/user_details?userid=vjrtgan6LUtn0NfBhWYE-A,3,1,1,1,2
Corey L.,"North Highlands, CA",0,42,0,11/1/2013,11,https://www.yelp.com/user_details?userid=nehph4dp4PRzIMefKt3cDw,24,8,4,2,4
Dnd H.,"Sacramento, CA",14,69,0,5/1/2011,138,https://www.yelp.com/user_details?userid=OPBbGySbq5QO3y2G9KGKDA,29,27,6,1,6
Adam M.,"Sacramento, CA",13,21,0,2/1/2015,13,https://www.yelp.com/user_details?userid=Jp_uNlDnVw9YKcZoT7UvLg,14,2,2,1,2
Raylin R.,"Hollister, CA",0,1,0,12/1/2014,0,https://www.yelp.com/user_details?userid=MVCnvs615eww0dcDO-MpXQ,0,0,0,0,0
Aaron E.,"Antioch, CA",230,68,0,2/1/2011,88,https://www.yelp.com/user_details?userid=jydBnjVv3V0tg_CXZIU91w,25,19,14,6,4
Vince Chicken God" L.","Sacramento, CA",252,660,1,2/1/2012,1684,https://www.yelp.com/user_details?userid=qLMT6tS074Opsaz4qkbjVg,208,242,129,36,45
J James" P.","Sacramento, CA",2,5,0,7/1/2009,4,https://www.yelp.com/user_details?userid=MSAEFzdAXEuNxGHU_pj0Kw,2,1,1,0,1
Courtney H.,"Elk Grove, CA",0,1,0,7/1/2018,2,https://www.yelp.com/user_details?userid=ruQhGpbOQwJzYzs2FtstEw,0,0,0,0,0
Erik M.,"Newberg, OR",85,156,1,4/1/2009,369,https://www.yelp.com/user_details?userid=z3Y2-jlS2nV8snZRrkczAw,50,50,35,19,2
Nancy E.,"Penn Valley, CA",0,3,0,4/1/2012,5,https://www.yelp.com/user_details?userid=ke-Renoh1ePRcqA8cPlmYw,0,0,0,0,0
Allisha O.,"Roseville, CA",1,13,0,8/1/2011,21,https://www.yelp.com/user_details?userid=aVuWZdXvM2VW12tTlWh8YA,7,3,1,1,1
Kevin entitee" J.","Sacramento, CA",70,110,0,11/1/2007,306,https://www.yelp.com/user_details?userid=YoxIhV_usYf1SopBPMyNww,22,56,29,3,0
BreAnda Murphy's mom" N.","West Sacramento, CA",45,8,0,2/1/2013,4,https://www.yelp.com/user_details?userid=Bhpk9-JEDorii7ArREPsKw,6,1,0,0,1
Justin S.,"Davis, CA",1,8,0,8/1/2014,1,https://www.yelp.com/user_details?userid=0Pjovp7Ks8KXfVIu-H9J5A,7,1,0,0,0
Allie E.,"Sacramento, CA",13,20,0,12/1/2011,26,https://www.yelp.com/user_details?userid=sian3KS_gEi_U1pgAXHkwg,10,2,2,3,3
